State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2011,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.055034444136499994,-4.74383403397e-07,0.6971010291859999,-9.89508300443e-09
AK,2011,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.11421832972000001,-5.585154621739999e-07,0.355420771017,3.8039149201e-08
AK,2011,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.203399527174,-5.09807428145e-07,-1.3529805198299998,7.70016289136e-08
AK,2011,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0454970875394,-5.584212493420001e-07,-1.06011172712,6.46983507367e-08
AK,2012,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18150959688999999,-5.124453874350001e-07,4.55320679996,2.34733439217e-08
AK,2012,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20034807584699998,-4.7485446755600005e-07,-5.20908629061,-2.89257763381e-08
AK,2012,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0647633020407,-4.80789875958e-07,4.35796093815,-4.97194778036e-08
AK,2012,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184944050832,-4.7202808260299995e-07,-4.81859456698,-5.32566877697e-08
AK,2012,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787373520451,-6.01570726296e-07,4.260338007240001,-4.51734354067e-08
AK,2012,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105491711281,-2.7898599029099997e-07,-2.3780212943400003,-1.50847632908e-08
AK,2012,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011446084875,-5.3336063609e-07,4.2115265417900005,3.84589130419e-08
AK,2012,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.018551226996099998,-4.1286242424699995e-07,-2.2803983634400002,1.5241775001600002e-08
AK,2012,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.07692437442080001,-5.47115709529e-07,-5.746012410590001,-1.2186993575799999e-08
AK,2012,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12394718762399999,-4.11260806106e-07,3.86984628362,3.63041253253e-08
AK,2012,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.159619666606,-6.07223496203e-07,-3.7447423270199995,8.11055200648e-08
AK,2012,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.056655920453900006,-5.48905753333e-07,1.4292730109799998,8.84807707495e-08
