M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24
4.50043626188e-05,4.5120188588e-05,4.52979620604e-05,4.54993241874e-05,4.57018140878e-05,4.58927206637e-05,4.60654227936e-05,4.62168427475e-05,4.63460346509e-05,4.6453144023e-05,4.65392040496e-05,4.66055244033e-05,4.66536985186e-05,4.6685567213e-05,4.67029713036e-05,4.67079480586e-05,4.6702396503e-05,4.6688310249e-05,4.66674646304e-05,4.66416713607e-05,4.66124729428e-05,4.65812663606e-05,4.65492521471e-05,4.65174343844e-05
4.50054249086e-05,4.51263586001e-05,4.530662045e-05,4.55088484159e-05,4.57113019365e-05,4.59016919194e-05,4.60736446257e-05,4.62241550849e-05,4.6352364734e-05,4.64586082671e-05,4.65437442472e-05,4.66091405542e-05,4.66565070383e-05,4.66876408609e-05,4.67043537355e-05,4.67087047582e-05,4.67026438855e-05,4.66880846943e-05,4.66669116577e-05,4.66408200737e-05,4.66114252049e-05,4.65800585516e-05,4.65479643026e-05,4.65161101602e-05
4.50043044111e-05,4.51245105069e-05,4.53044594906e-05,4.55066656286e-05,4.57092282886e-05,4.58998292743e-05,4.60719857074e-05,4.62227362732e-05,4.6351171477e-05,4.6457604185e-05,4.65429584438e-05,4.66085875814e-05,4.66561723442e-05,4.66873789264e-05,4.67042664241e-05,4.67087047582e-05,4.6702731197e-05,4.66882738692e-05,4.66671590402e-05,4.6641111112e-05,4.66117235192e-05,4.65804005216e-05,4.65482771688e-05,4.65164230263e-05
4.50042316515e-05,4.5124321332e-05,4.53042048321e-05,4.55064619018e-05,4.5708995458e-05,4.58995818917e-05,4.60717601527e-05,4.62225107185e-05,4.63509895781e-05,4.64574586658e-05,4.65428274765e-05,4.66084566142e-05,4.6656034101e-05,4.66873425466e-05,4.67042082164e-05,4.67086683784e-05,4.6702738473e-05,4.66882665933e-05,4.66671517643e-05,4.66411329398e-05,4.6611759899e-05,4.65804150735e-05,4.65482989966e-05,4.65164666821e-05
4.50027982879e-05,4.51196428912e-05,4.52980930277e-05,4.54998771602e-05,4.57025926153e-05,4.58936301584e-05,4.60664559796e-05,4.62179050373e-05,4.63470823888e-05,4.64542135887e-05,4.65402808913e-05,4.66064993816e-05,4.66546298412e-05,4.66863966722e-05,4.67037134513e-05,4.67085592391e-05,4.67029640276e-05,4.66887540824e-05,4.66678648081e-05,4.6641969675e-05,4.66126912215e-05,4.65814191557e-05,4.65493685624e-05,4.65174780402e-05
4.50021652796e-05,4.51209816674e-05,4.53003995062e-05,4.55026347481e-05,4.57053647551e-05,4.58963295387e-05,4.60688861494e-05,4.62200878246e-05,4.63490177935e-05,4.64558288513e-05,4.65416196676e-05,4.66075907752e-05,4.66554738523e-05,4.66870005766e-05,4.67041354568e-05,4.67088066216e-05,4.67030149593e-05,4.66886885988e-05,4.66676465294e-05,4.66416859126e-05,4.66123565275e-05,4.65810408059e-05,4.65489029011e-05,4.65170342068e-05
4.50051993539e-05,4.51244086435e-05,4.53038337582e-05,4.55057997897e-05,4.57082460343e-05,4.58988251921e-05,4.60710398329e-05,4.62218631583e-05,4.63503929495e-05,4.64568984171e-05,4.65423836431e-05,4.66080564365e-05,4.66557139589e-05,4.66870442324e-05,4.67039826617e-05,4.67085228593e-05,4.67026075057e-05,4.66882011096e-05,4.66671663162e-05,4.66411547677e-05,4.66117962787e-05,4.6580502385e-05,4.6548408136e-05,4.65165685455e-05
4.50022016594e-05,4.51212654298e-05,4.53008287877e-05,4.55030276498e-05,4.57057867607e-05,4.58967297163e-05,4.60692426714e-05,4.62204152427e-05,4.63492724521e-05,4.64560689579e-05,4.65418015665e-05,4.66077726742e-05,4.66556193714e-05,4.66871315439e-05,4.67042227683e-05,4.67088939331e-05,4.67030949949e-05,4.66887249786e-05,4.66676829092e-05,4.66417368443e-05,4.66123638034e-05,4.65810335299e-05,4.65489101771e-05,4.65170269308e-05
4.50086845376e-05,4.51264313597e-05,4.53049178759e-05,4.55063309346e-05,4.57083988294e-05,4.5898679673e-05,4.6070683311e-05,4.62213829451e-05,4.63498181489e-05,4.64562872367e-05,4.65416560473e-05,4.66073652206e-05,4.66549863631e-05,4.66863602924e-05,4.67033569294e-05,4.67079189548e-05,4.67020690849e-05,4.66877136205e-05,4.66667006549e-05,4.66407764179e-05,4.66114979645e-05,4.65802113467e-05,4.65482044092e-05,4.65164011985e-05
4.50052066299e-05,4.51247360616e-05,4.53043139714e-05,4.55063382105e-05,4.57087771792e-05,4.58993199572e-05,4.60714836663e-05,4.62222851638e-05,4.63507712993e-05,4.64572258352e-05,4.65426383016e-05,4.66082674393e-05,4.66558813059e-05,4.66871679237e-05,4.67040845251e-05,4.6708573791e-05,4.67026875413e-05,4.66882083856e-05,4.66671226604e-05,4.6641103836e-05,4.66117307951e-05,4.65804223495e-05,4.65483208245e-05,4.651648851e-05
4.50017723779e-05,4.51208725281e-05,4.53004213341e-05,4.55026711279e-05,4.57054302387e-05,4.58963950223e-05,4.6068966185e-05,4.62201460323e-05,4.63490468974e-05,4.64558506792e-05,4.65416196676e-05,4.66075980512e-05,4.66554520244e-05,4.66869860247e-05,4.67041354568e-05,4.67087920697e-05,4.67030076834e-05,4.66886376671e-05,4.66676610813e-05,4.66416931886e-05,4.66123274236e-05,4.65809971502e-05,4.65488883492e-05,4.65170342068e-05
4.50051993539e-05,4.51262421848e-05,4.53064967587e-05,4.55088047602e-05,4.57112728327e-05,4.59016773675e-05,4.60736300738e-05,4.62241550849e-05,4.63523865619e-05,4.6458622819e-05,4.6543780627e-05,4.660918421e-05,4.66565870738e-05,4.66876626888e-05,4.67044119432e-05,4.67087556899e-05,4.67026875413e-05,4.66881065222e-05,4.66669334855e-05,4.66408419015e-05,4.66114252049e-05,4.65800658276e-05,4.65479570266e-05,4.65160956082e-05
4.50038969575e-05,4.51228661404e-05,4.53022475995e-05,4.55042572867e-05,4.57068708783e-05,4.58975664515e-05,4.60699702671e-05,4.62209754915e-05,4.63497090095e-05,4.64563818241e-05,4.65419616376e-05,4.66078236059e-05,4.66555684397e-05,4.66870369564e-05,4.67040408694e-05,4.67086538265e-05,4.67028039566e-05,4.66884193884e-05,4.6667377319e-05,4.66414021503e-05,4.66120582132e-05,4.65807206638e-05,4.65486482426e-05,4.65168086521e-05
4.50033876405e-05,4.51235719083e-05,4.53035790997e-05,4.55059016531e-05,4.57085880043e-05,4.58993054053e-05,4.60715928057e-05,4.62224670628e-05,4.63510114059e-05,4.64575241494e-05,4.65429584438e-05,4.6608660341e-05,4.66562523798e-05,4.66875462735e-05,4.67044337711e-05,4.67088939331e-05,4.67029421998e-05,4.6688484872e-05,4.6667370043e-05,4.66413075628e-05,4.66119490738e-05,4.65805751446e-05,4.65484372398e-05,4.65165830974e-05
4.50025436294e-05,4.51205960417e-05,4.52996137028e-05,4.55015870102e-05,4.5704353397e-05,4.58953327325e-05,4.60679839307e-05,4.62192656414e-05,4.63483047497e-05,4.64552249468e-05,4.65410885226e-05,4.66071542178e-05,4.66551100544e-05,4.66867386422e-05,4.67039753858e-05,4.67087193101e-05,4.67029640276e-05,4.66886813228e-05,4.66677265649e-05,4.66417659482e-05,4.66124511149e-05,4.65811644972e-05,4.65490484203e-05,4.65171870019e-05
4.50066909252e-05,4.51260602858e-05,4.53054490208e-05,4.55073713965e-05,4.57096648461e-05,4.59000839328e-05,4.60721093987e-05,4.62227435492e-05,4.63511205453e-05,4.64574732177e-05,4.65427619929e-05,4.66083329229e-05,4.66558594781e-05,4.6687109716e-05,4.67039681098e-05,4.6708399168e-05,4.67024765385e-05,4.66880119347e-05,4.66669334855e-05,4.66408855573e-05,4.66115561721e-05,4.65802404506e-05,4.65481753054e-05,4.65163284389e-05
4.50044208264e-05,4.51253254141e-05,4.53056090919e-05,4.55079389212e-05,4.57104870293e-05,4.59010007035e-05,4.60730407212e-05,4.62236821477e-05,4.635203004e-05,4.64583026769e-05,4.65435477963e-05,4.66090605187e-05,4.66564924864e-05,4.66876408609e-05,4.67043901153e-05,4.67087847937e-05,4.67027675768e-05,4.66882447654e-05,4.66670862806e-05,4.66410019726e-05,4.66115634481e-05,4.65802331746e-05,4.65481098217e-05,4.65162629553e-05
4.50021871075e-05,4.51182895631e-05,4.52963395219e-05,4.54979272035e-05,4.57006426586e-05,4.5891803893e-05,4.6064666094e-05,4.62162752228e-05,4.63456344733e-05,4.64529257442e-05,4.6539138566e-05,4.66055535071e-05,4.66538294859e-05,4.66857563879e-05,4.6703240514e-05,4.67082390969e-05,4.67027530249e-05,4.6688652219e-05,4.66678502562e-05,4.66420133307e-05,4.66128003609e-05,4.65815646749e-05,4.65494995296e-05,4.65176599391e-05
4.50038314739e-05,4.51249834441e-05,4.53054562968e-05,4.55078879895e-05,4.57104943052e-05,4.59010516352e-05,4.60731134808e-05,4.62237621832e-05,4.63521027996e-05,4.64584336441e-05,4.65436278319e-05,4.66091623821e-05,4.66565725219e-05,4.66877500003e-05,4.67045065307e-05,4.67088793812e-05,4.67028257845e-05,4.66882738692e-05,4.66670862806e-05,4.66410238005e-05,4.66115925519e-05,4.65802040708e-05,4.65481098217e-05,4.65162338514e-05
4.50047627965e-05,4.51249106845e-05,4.53048014606e-05,4.55069857708e-05,4.57094902231e-05,4.59000621049e-05,4.60721821582e-05,4.62229254481e-05,4.63513242721e-05,4.64577206003e-05,4.65430457552e-05,4.6608660341e-05,4.66561796202e-05,4.66874153062e-05,4.6704280976e-05,4.67086974822e-05,4.67027093691e-05,4.66882447654e-05,4.66671372124e-05,4.66410674562e-05,4.66117016913e-05,4.6580342314e-05,4.65482553409e-05,4.65163793706e-05
4.50049446954e-05,4.51257110399e-05,4.53059146821e-05,4.55081863038e-05,4.57106471003e-05,4.59011025669e-05,4.60731134808e-05,4.62237039756e-05,4.6352022764e-05,4.64583099529e-05,4.65435114165e-05,4.66089804831e-05,4.66564270027e-05,4.66875753773e-05,4.67043610115e-05,4.67087120342e-05,4.67026875413e-05,4.66881574539e-05,4.66669771413e-05,4.6640929213e-05,4.66115125164e-05,4.65801749669e-05,4.6548066166e-05,4.65162265755e-05
4.50051484222e-05,4.51225532743e-05,4.53010688943e-05,4.55026784039e-05,4.57050882687e-05,4.58957838418e-05,4.60681731056e-05,4.62192947452e-05,4.63481446786e-05,4.64549630124e-05,4.6540688345e-05,4.66067103844e-05,4.66546298412e-05,4.66862074973e-05,4.67034078611e-05,4.67081663373e-05,4.67024619866e-05,4.66881865577e-05,4.66672754555e-05,4.66413948743e-05,4.66121091449e-05,4.6580858907e-05,4.65488301415e-05,4.65169759991e-05
4.50056577392e-05,4.51261621492e-05,4.53061329608e-05,4.55083027191e-05,4.57107416878e-05,4.59011316707e-05,4.6073084377e-05,4.62236821477e-05,4.63519500045e-05,4.64582371933e-05,4.65434095531e-05,4.66089077236e-05,4.66563324153e-05,4.66874371341e-05,4.67042227683e-05,4.67086319986e-05,4.67026075057e-05,4.66880701424e-05,4.66669407615e-05,4.66408637294e-05,4.66114615847e-05,4.65801313112e-05,4.65480516141e-05,4.65162047476e-05
4.50072584499e-05,4.51264459116e-05,4.53057036793e-05,4.55074950878e-05,4.57097157778e-05,4.59000621049e-05,4.60720002593e-05,4.62226198579e-05,4.63509459223e-05,4.6457262215e-05,4.65425509901e-05,4.66081291961e-05,4.66556266474e-05,4.66868768854e-05,4.67037862109e-05,4.6708231821e-05,4.67022728117e-05,4.66878591396e-05,4.66667661385e-05,4.66407836939e-05,4.66114252049e-05,4.65801531391e-05,4.65480879939e-05,4.65162920591e-05
4.5008277084e-05,4.51243795396e-05,4.53021239082e-05,4.55032022728e-05,4.57053356513e-05,4.58958420495e-05,4.60681440018e-05,4.6219163778e-05,4.63479700556e-05,4.64547374577e-05,4.65404409624e-05,4.66064120701e-05,4.6654324251e-05,4.66859455628e-05,4.67031313747e-05,4.67078971269e-05,4.670222188e-05,4.6687968279e-05,4.66670790047e-05,4.66411911475e-05,4.66119927296e-05,4.65807497676e-05,4.65487137262e-05,4.65169105155e-05
4.50008701591e-05,4.51186024293e-05,4.52975036751e-05,4.54995788459e-05,4.57024470961e-05,4.58936228824e-05,4.60664705315e-05,4.62179996248e-05,4.63471915282e-05,4.64543663838e-05,4.65403900307e-05,4.66066521767e-05,4.66547753604e-05,4.66865494673e-05,4.67038953502e-05,4.67087265861e-05,4.67031095468e-05,4.66888850497e-05,4.66679812234e-05,4.66420642624e-05,4.66127639811e-05,4.65814700874e-05,4.65493685624e-05,4.65174707642e-05
4.5005184802e-05,4.51233463536e-05,4.53022330476e-05,4.55040171801e-05,4.57064415968e-05,4.58971080661e-05,4.60694245703e-05,4.62204079668e-05,4.63491633127e-05,4.64558288513e-05,4.65414523205e-05,4.66073361167e-05,4.66551464342e-05,4.66866295028e-05,4.67036916234e-05,4.67083336844e-05,4.6702556574e-05,4.66882374894e-05,4.66672172479e-05,4.66412930109e-05,4.66119854536e-05,4.65807206638e-05,4.65486336907e-05,4.65167868242e-05
4.50036786788e-05,4.51244086435e-05,4.53046995972e-05,4.5507116738e-05,4.57097085018e-05,4.59003313154e-05,4.60724731965e-05,4.62231946585e-05,4.63516371383e-05,4.64580189146e-05,4.65433295176e-05,4.66089077236e-05,4.66564051749e-05,4.6687619033e-05,4.6704441047e-05,4.67088430014e-05,4.67028403364e-05,4.66883320769e-05,4.66671881441e-05,4.66411329398e-05,4.66117162432e-05,4.6580342314e-05,4.6548233513e-05,4.65163575427e-05
4.50012921647e-05,4.51192136097e-05,4.52981803392e-05,4.55002336821e-05,4.57030655525e-05,4.58941613033e-05,4.60669652966e-05,4.62183925265e-05,4.63475480501e-05,4.64546574221e-05,4.65406592411e-05,4.66068413516e-05,4.66549499833e-05,4.66866658826e-05,4.67039462819e-05,4.67087556899e-05,4.67030949949e-05,4.66888559458e-05,4.66679011879e-05,4.66419915028e-05,4.66126912215e-05,4.65813755e-05,4.65492958028e-05,4.65173980047e-05
