M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23
-7.14775117563e-07,2.0672293269999996e-06,1.75385743e-06,-1.3003764583e-06,-1.41118571703e-06,-1.22942097785e-06,1.02645426695e-06,3.0400110401e-06,2.43562946511e-06,-1.50875617164e-08,-2.30377574596e-06,-3.38823422972e-06,-9.088851610660001e-08,2.20492865737e-06,-6.51667871489e-08,-2.56935053361e-06,1.2720119162399999e-06,-1.47183039833e-06,1.7909379684900003e-06,1.7732155391299996e-06,2.03219583684e-06,-2.80001920923e-07,-2.7214015897e-06,-1.67112727393e-06
1.70694317416e-07,2.40664752056e-07,1.85086620308e-07,-2.5760472158499997e-07,-1.05129704016e-07,-1.84441283328e-07,-9.15139642295e-08,3.26619743991e-08,1.7414057855e-07,2.94703699954e-08,-1.83208576849e-07,1.47440799843e-07,7.96643308777e-08,4.07555859135e-07,1.26644250185e-08,-3.10802792355e-07,9.58056497732e-08,-3.0807992424099996e-07,-6.37927601763e-08,1.54684474757e-08,2.1522706329699997e-07,-1.2182511118099998e-07,-1.06516323903e-07,1.06744695467e-07
-1.5480740514e-08,4.17865259067e-07,1.73443770574e-07,-3.03053951852e-07,-1.99265942976e-07,-2.2055916341300002e-07,1.08759561903e-07,8.02328360163e-07,4.4421103693500005e-07,-3.2279689427e-08,-7.25281806501e-07,-3.40092513961e-07,-3.27162438215e-08,6.22102755071e-07,7.8399392737e-09,-4.865481180520001e-07,2.73281254272e-09,-2.0085964635899999e-07,7.538273970049999e-08,5.97575953847e-07,6.86179705385e-07,-5.312053938720003e-07,-3.73424561354e-07,-3.6375320246e-07
-6.069210460479999e-08,7.47488963007e-08,1.17562009647e-07,-9.32980103201e-09,-6.8853762651600006e-09,-1.0046472852999999e-07,-9.25731683214e-08,1.27292135479e-07,1.74179756508e-07,1.1730455449100001e-07,-8.79529676458e-08,-2.15208573654e-07,-5.5299538462e-08,1.20095984033e-07,1.75010888913e-07,-1.97424578928e-07,2.0154411153e-08,-1.6681265099e-08,-1.11237267901e-07,1.3444071369e-07,1.45835902758e-07,5.05690500852e-09,-1.25649159772e-07,-7.588055958150001e-08
-2.53040489422e-07,5.11061227024e-07,6.51417662507e-07,-4.822455386819999e-07,-2.86518054946e-07,-6.92303759947e-07,8.961091990709999e-07,1.1228040605600001e-06,2.42274131599e-06,2.72792077226e-07,-2.38324543632e-06,-1.50862269899e-06,-4.64295037633e-07,9.606045140129999e-07,9.780372565589999e-08,-9.20246719259e-07,6.4725080678e-07,-1.14361565192e-06,6.135045923970001e-07,1.5978242142700004e-06,1.6202675876299998e-06,-7.90047169514e-07,-1.3384700268700001e-06,-1.0043561992700001e-06
-1.33565905811e-07,1.69527373938e-07,4.006800776540002e-08,-2.37352515474e-07,-5.0899014196599996e-08,-4.33446642731e-08,1.3261054334400002e-07,3.98610691685e-07,3.48760937152e-07,-1.12080993221e-07,-3.23513241458e-07,-2.420804555360001e-07,-8.31830512004e-08,1.99232661746e-07,4.21597811391e-09,-3.1527327726100004e-07,8.390254645800001e-08,-3.85845423173e-08,1.71561829354e-07,4.5781698223199996e-07,2.7709605580799997e-07,-1.06748593229e-07,-3.05415823064e-07,-2.42121032707e-07
-6.217358614399999e-07,3.76935486154e-07,4.0321265282699995e-08,-3.82200424054e-07,5.1100800717100003e-08,-1.02952578661e-08,3.88820399702e-07,1.33987793482e-06,5.86341674252e-07,-1.502529177e-07,-1.15992767478e-06,-5.54285409058e-07,-5.7978466318e-07,5.43164765577e-07,-1.1292891618e-07,-3.82529239063e-07,2.684615136e-07,-1.75210676467e-07,6.96566062022e-07,1.17355350893e-06,8.038325139260002e-07,-4.91606272334e-07,-9.143140569739999e-07,-9.159021635059999e-07
-1.09060367645e-06,1.24027776987e-06,7.15360288392e-07,-6.371076132939999e-07,-2.84706074366e-07,-1.25606059041e-06,6.266949217239999e-08,2.14171222293e-06,2.9833918940200003e-06,1.17308197421e-06,-1.6919895368200001e-06,-3.59105992e-06,-5.70661795704e-07,1.2473885693299999e-06,5.06510986989e-07,-9.87313787333e-07,-5.73745660722e-07,-6.2748662606e-07,-3.7413815988400004e-07,2.09131397698e-06,2.91309264437e-06,-3.16010662408e-07,-1.7496664877799999e-06,-1.26750335271e-06
-3.32328282117e-07,1.1102839044e-06,2.07096662439e-06,-1.3360717761200001e-06,-7.43941708442e-07,-1.18853597975e-06,7.79375673342e-07,1.7296272618900002e-06,2.50560829503e-06,9.30647367901e-07,-3.07812669619e-06,-2.2379889576e-06,-2.21888415575e-07,2.5230117038700003e-06,-3.11330295582e-07,-2.46540861132e-06,1.51607800468e-06,-2.2510086327299998e-06,1.11311591112e-06,1.57079841898e-06,1.7876134388700001e-06,-7.05348620909e-07,-2.03137279983e-06,-7.24880232426e-07
-2.73200347487e-07,5.47240672472e-07,6.157783132020001e-07,-1.04466612092e-06,-4.31459760551e-08,-2.42214779965e-07,6.1844801123e-07,1.6890458929600001e-06,9.68768920719e-07,-3.00602531021e-07,-1.10788115614e-06,-9.92392929808e-07,-6.69446219597e-07,1.1057812376e-06,-2.54459291204e-07,-1.20689784936e-06,6.297270656350001e-07,-4.09980395045e-07,5.623731589359999e-07,1.43007818817e-06,9.293111196739999e-07,-5.50644657345e-07,-9.411383656209999e-07,-7.04601441272e-07
4.3461943317e-07,5.92680108249e-07,1.0105269778400001e-07,-7.94835275726e-07,9.30645918921e-08,-6.40509099618e-07,1.6304342180899998e-07,2.89617611182e-07,1.8014739911300002e-07,3.5933618751700003e-07,-9.45796345042e-07,3.1173636717199995e-07,4.81148805955e-08,1.4801700065200002e-06,5.6662671609099996e-08,-1.13110948789e-06,-2.30720174052e-10,-5.128043463e-07,3.8138493310000005e-08,3.0987116673900004e-08,5.01233156296e-07,2.10296237379e-07,-8.18307070496e-07,5.188431012e-09
-6.519056878979999e-07,1.54053204684e-06,2.06459041165e-06,-5.491209146020001e-07,-1.36863145805e-06,-1.57118430184e-06,-2.8216375447000002e-08,1.71024816457e-06,2.18223902255e-06,1.00613909626e-06,-1.63048853728e-06,-2.59853531425e-06,-4.28142177228e-07,2.57678625032e-06,8.44599978154e-07,-1.9796592938400004e-06,3.96804307956e-07,-1.69635787919e-06,-3.7190641546300003e-07,1.35382528804e-06,2.30122248247e-06,-4.1269766630900004e-07,-1.9031433417099998e-06,-5.3738431761e-07
-2.6352623993400002e-08,7.92893418465e-08,5.06166730873e-08,-1.1077412846300001e-07,3.26353893558e-08,-4.9418647050999997e-08,9.0474599227e-09,9.34297864337e-08,2.43414205214e-07,2.09015907898e-08,-2.2175688957199999e-07,-1.0400893456e-07,-5.17973585829e-09,6.67901738772e-08,3.7615187721699996e-08,-9.82875534089e-08,9.55356017022e-08,-1.1443027151700001e-07,2.7298791725099998e-08,1.32701492176e-07,1.2144202675e-07,-1.0484151594499998e-08,-1.1554964175999999e-07,-1.1250635391300002e-07
-2.78247308068e-07,2.2792911712300001e-07,1.30092944724e-06,-7.04544073547e-07,-1.0509401911200002e-06,-2.30294886096e-07,9.58423141253e-07,1.36198689632e-06,1.6176118817299999e-06,-1.41041899818e-07,-1.7805163316599998e-06,-1.45628234567e-06,-1.29804821797e-07,5.21633678964e-07,3.36527619616e-07,-1.3953928021200002e-06,6.72123213566e-07,-1.97421780502e-07,8.28100460781e-07,8.15486557362e-07,1.40602292166e-06,-1.6447451662999996e-07,-1.72649692297e-06,-3.72537460437e-07
2.8724589571399998e-08,1.9857083409000002e-07,1.03040979178e-07,-1.21946842695e-07,-9.7867789568e-08,-1.1551466144000001e-07,-2.35891787075e-08,1.67389376775e-07,1.20012031265e-07,8.65484578685e-08,-2.4001241901300013e-07,-6.17261228663e-08,3.4401195913199995e-08,2.7876951432e-07,1.34173464045e-07,-2.3979973866700003e-07,-2.66800397893e-08,-1.76454576649e-07,1.10259468261e-08,1.20983084951e-07,1.90950721165e-07,-9.67540161768e-08,-1.1402589901700001e-07,-5.21764954857e-08
-7.18136026716e-07,7.963523222810002e-07,1.52640699359e-06,4.17610602337e-07,-1.47606441627e-06,-9.264130500819999e-07,2.65414028115e-07,1.90281342737e-06,1.9981054161e-06,5.19691571593e-07,-9.56796956099e-07,-2.36344797437e-06,-1.15532846229e-06,1.06312343688e-06,7.87912270653e-07,-1.42704579415e-06,-3.13412324233e-07,-2.9727800140100004e-07,4.49995382663e-07,1.19416391352e-06,1.60328674105e-06,2.7471879325500004e-07,-1.75657300217e-06,-1.16816064291e-06
-8.88708317781e-06,2.78641351404e-06,4.09989654861e-06,-4.28659601146e-06,-1.37727859317e-06,-3.42576116686e-07,3.31321713437e-06,7.7437810995e-06,7.33853968828e-06,1.62973326224e-06,-4.99465225908e-06,-6.0746038784e-06,-7.2276755603800016e-06,2.1843938102700002e-06,9.75325631914e-07,-6.490966232980001e-06,2.2802874605099996e-06,-1.43470368582e-06,5.85124504011e-06,6.7387713179099995e-06,4.45136061496e-06,1.4452988250399999e-06,-6.5503404290699994e-06,-3.0824138842099997e-06
1.45253282797e-09,2.49664488805e-07,-1.07989744752e-08,-3.24604627444e-07,-1.37387155976e-07,-5.46880824671e-08,1.31985095221e-07,6.73609177563e-07,4.2463884824699997e-07,-1.53044347242e-07,-6.80437036164e-07,-1.9477866751700002e-07,-7.831099222030001e-08,4.85012082271e-07,-6.517238400009999e-08,-5.25211166224e-07,1.36307263569e-07,-2.1042611406e-08,1.26400836924e-07,5.85902321432e-07,4.91293148543e-07,-1.49554710511e-07,-6.49024708737e-07,-2.95468819247e-07
