State,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
GA,0.220113278198,0.231246374089,0.273483647245,0.250212013211,0.232136721743,0.220058235039,0.24499192324900002,0.292078266244,0.333598804147,0.332735606645,0.297935582011,0.24606352752099997,0.222141487996,0.24648724242400002,0.253570077226,0.213036961349,0.229686594271,0.227589658404,0.245716158941,0.27611570230099997,0.314421427389,0.312681325512,0.268147288495,0.2496588019090001
HI,0.009782944959959999,0.00919263883421,0.00844693223653,0.0073427861231800005,0.00799482110255,0.00819196523247,0.00894617871797,0.00874814795467,0.0102002617246,0.0111361152374,0.00997268450301,0.010224392530299999,0.008380722289890001,0.0090860750873,0.00794133554305,0.006284960613109999,0.00859662949916,0.008079266941109999,0.008942943704290001,0.00882777721731,0.0101605070009,0.010702743219700002,0.00984127105844,0.0100393018217
IA,0.07797092273850001,0.08668681640869999,0.09264166184810002,0.08444574271,0.0836336344612,0.07607204159799999,0.07822023445939999,0.09106251987439999,0.09503631482580001,0.0994873102395,0.0843864101628,0.0806544025301,0.0813557295327,0.09589440819499999,0.09432849383269999,0.0812222552646,0.0864601977097,0.0762053720877,0.0798727992621,0.09149347162260002,0.0990030646363,0.09073369870619999,0.0837665336157,0.0845682658577
ID,0.031362594950599995,0.0375396019591,0.0379052783202,0.0317131506182,0.0301089432792,0.028634663674800002,0.032703759732900003,0.045538329041099994,0.0491181472526,0.0472949893951,0.0325410744894,0.029277832320400002,0.0292794138826,0.0408743019859,0.0432401034342,0.032212468988799994,0.031788107083299995,0.0283547990469,0.0347411473851,0.042703881944500005,0.0540390104309,0.0474753114539,0.0341494514016,0.030479436216199998
IL,0.23758846264699998,0.256726779611,0.280176027878,0.256144501112,0.248310400281,0.232869224692,0.243709012676,0.29069181127,0.328608687713,0.337543148493,0.28247041939399997,0.245951643974,0.233648000318,0.282207712321,0.276951054722,0.234335308928,0.247530114982,0.220761383234,0.236666939047,0.280452417861,0.31483723448,0.288024123138,0.271819268652,0.244323209977
IN,0.172611223964,0.190409981671,0.210850763068,0.201773194868,0.188299674414,0.16984320248100002,0.179252946678,0.20330441071400002,0.22617296204300005,0.237079487162,0.20064333638700002,0.17638377710099998,0.172685461537,0.201126695357,0.193763804223,0.16306671149399998,0.17788724371800002,0.155916037257,0.171664155737,0.18796955924000008,0.208748219844,0.20013177289099998,0.17886503259300002,0.167341003271
KS,0.0586641214697,0.0645448251882,0.0728552398475,0.0635729551898,0.0584190272482,0.0573098488913,0.0636256499682,0.0850828247373,0.09294108033639999,0.09206745890149999,0.0784543056714,0.0646137669242,0.061029635361199985,0.07029562513519999,0.0695948732462,0.056220248358,0.059506878477800014,0.0577131472633,0.0635869256563,0.07617534636810001,0.09220227510119999,0.0835313121767,0.0747459975093,0.0641495304797
KY,0.117745823298,0.127239294441,0.151722357227,0.141718784335,0.127930964329,0.11952342736999999,0.12347277999600001,0.14261461953,0.158692637516,0.16626158704000002,0.146903073479,0.126536409839,0.121531412342,0.141954724666,0.143528738544,0.121256076734,0.127892767204,0.115767025338,0.127974025955,0.13654932832699998,0.155676358688,0.15097727366900002,0.130870441536,0.123022585907
LA,0.15317296132400002,0.155584867708,0.170179931461,0.160873995259,0.149143643953,0.149489454934,0.155619949634,0.18493492470400005,0.208130020711,0.206516563629,0.198080582513,0.180232389005,0.158106908336,0.152508225921,0.164457527745,0.142559504482,0.143063615466,0.15267613511199998,0.158828340349,0.178277625998,0.194668050454,0.196943055851,0.187570526294,0.17567411095199995
MA,0.0863307492364,0.0934295434389,0.101906213838,0.09398862569189999,0.09314996636780001,0.08446227722439999,0.08403381763489999,0.0951440048367,0.11185874540400001,0.122893448954,0.106123785043,0.08949111797039999,0.08535372717910003,0.09537103090780001,0.09844144229849999,0.0897229845805,0.09128286025049999,0.08411924595899999,0.08149047384319999,0.092965139253,0.110295323201,0.103347879712,0.0960115875794,0.10184007578099999
MD,0.098703286702,0.102422785615,0.126876829131,0.116703142444,0.105146499392,0.08991214901000001,0.09583962862999999,0.113350518046,0.139767975234,0.14303828650699998,0.11497058893300001,0.09372836285060004,0.0954478085658,0.117776591872,0.118409384511,0.09958170074969999,0.108090433729,0.08899302171599999,0.0947414253566,0.11618585177600001,0.136459490799,0.121019944698,0.103409752344,0.0941340814922
ME,0.010342434585,0.0155401190821,0.0141629857403,0.0129005156612,0.0142289081302,0.0117881022907,0.0113733016478,0.0117440821416,0.012715209285,0.016227763175,0.014411770273799999,0.0114352222059,0.010713023374299998,0.014981659868700004,0.015835919147700002,0.011085265615000001,0.014716005338,0.0110627642976,0.0110790112552,0.012421302301499999,0.012852110271299998,0.0129585062768,0.013610732960600001,0.0124861942796
MI,0.178567003963,0.194199955956,0.202889873664,0.184093269997,0.189133037901,0.178134638394,0.18787317979600002,0.208180582777,0.23355550289000002,0.243045044091,0.198811192381,0.182531764839,0.177985204725,0.199466270669,0.200664495773,0.17511184161200002,0.189616756316,0.170842318484,0.18153015667800002,0.203440568845,0.22248698745700002,0.20984680652600002,0.192938612141,0.18308365817299999
MN,0.112578691708,0.125901867897,0.13316298789699998,0.12082562820999998,0.11903647394099999,0.10723382607000001,0.11152105790200001,0.124063181974,0.13857950309699998,0.140510686448,0.119648826085,0.1154278042,0.11332811258,0.133650372662,0.133202790547,0.11376843388699999,0.122369832036,0.10799774459599999,0.11206933281300001,0.122204415003,0.134674601956,0.125489607339,0.119557814367,0.11137052193199999
MO,0.12916518195499999,0.146030506419,0.162104019349,0.14760440048100001,0.128852320188,0.11556511255799999,0.12467232306800001,0.163066304121,0.18184486360100002,0.182195634936,0.156523668678,0.12895929130699998,0.121162692672,0.153709518297,0.15552809920900001,0.125111949446,0.127337830561,0.115812195714,0.13531403236300002,0.150389651407,0.18214375490200002,0.159177793716,0.143173797635,0.126443385224
MS,0.0739194395327,0.07619478041330001,0.08594971255110001,0.0835653876541,0.076148076401,0.07206817300089999,0.07871092612689999,0.0920186701027,0.109254559392,0.11019254561799999,0.103233719674,0.09011830325210002,0.07636647576889999,0.0800963027628,0.08619274594910001,0.0744031579485,0.07535116073489999,0.0753658500933,0.081056526712,0.0906625523683,0.103899317748,0.10579896570599999,0.0956256384659,0.08756137240299999
MT,0.018074308983099998,0.0219097172382,0.022961839539000002,0.019752658043,0.0175713961528,0.0167505653486,0.015474388396700001,0.0173775109996,0.0185414209953,0.0194505556915,0.0164981863555,0.0162659363364,0.0173327959217,0.0222469734051,0.0259046715754,0.0214469904668,0.018934031840700003,0.0169333795661,0.015792210518399998,0.0165448184786,0.020213132286400003,0.0203816645176,0.0177233699066,0.0164862287864
NC,0.21194700137000005,0.247281282522,0.277248723907,0.254909037406,0.230671619992,0.209547124444,0.227056983448,0.279051225603,0.320694765916,0.32036707101100004,0.280843063735,0.222746507443,0.22112063749400002,0.25881317173,0.257627814791,0.213555546024,0.23527085092099997,0.20999482637400002,0.24059731292599998,0.270896283305,0.30563057725299997,0.300765931424,0.254089620423,0.225400416814
ND,0.0269421284808,0.030994474356999997,0.0340949833565,0.0296139142971,0.0277441482796,0.0245160838889,0.0228795024501,0.0233695710779,0.0262826170254,0.026718025903599996,0.023511072972599998,0.025966855727300002,0.027261891610699997,0.0341724319802,0.0343200204932,0.0289278757295,0.030499349522599997,0.025153836882000003,0.023992011672900004,0.0241876221667,0.027804319534,0.0256486262335,0.0237551128193,0.025513929849099996
