Y_1_M_1_F_1,Y_1_M_2_F_1,Y_1_M_3_F_1,Y_1_M_4_F_1,Y_1_M_5_F_1,Y_1_M_6_F_1,Y_1_M_7_F_1,Y_1_M_8_F_1,Y_1_M_9_F_1,Y_1_M_10_F_1,Y_1_M_11_F_1
-4.623795624130001e-08,-3.45800383644e-08,-3.716595102840001e-08,-4.18115524923e-08,-5.58069761888e-08,-5.8003749723099994e-08,-4.83003448034e-08,-3.03919891536e-08,-2.53883819881e-08,-3.52294173388e-08,-5.33313804041e-08
-2.3509089001400004e-08,-7.55263828446e-11,-4.43558491158e-09,-2.23879696621e-08,-5.2866245840199986e-08,-3.54967225185e-08,-2.69211576228e-08,-3.4223124562799998e-09,-1.0017113515500001e-08,-3.33095417564e-08,-5.10260419639e-08
-1.45186251729e-07,-1.43963230727e-07,-1.45825090143e-07,-1.47667907619e-07,-1.46621060461e-07,-1.5047014591e-07,-1.47777678801e-07,-1.45737434033e-07,-1.4429650775599996e-07,-1.44961166235e-07,-1.4558664944200002e-07
7.55089694909e-08,8.67861634543e-08,7.05883656529e-08,7.05903761142e-08,4.71759990398e-08,6.351903830390001e-08,7.09404548545e-08,8.87857107428e-08,9.55377011486e-08,7.6082841286e-08,5.32033617798e-08
4.17668475499e-10,2.81804428967e-09,-1.41381569259e-08,-1.06167192141e-08,-2.65874210602e-08,-2.95804808422e-08,-2.09955529414e-08,1.9062996191900003e-10,-5.0852798155299996e-09,-1.69690012083e-08,-2.59764993369e-08
3.1699669608e-08,4.4319133645e-08,3.4916809653500004e-08,1.83937479475e-08,-1.42454868342e-08,-2.38752806592e-09,2.9268907108499996e-08,5.8183360386399994e-08,5.06792277171e-08,2.5486339205000002e-08,-6.9052067543699995e-09
-6.59912547117e-08,-5.55928333479e-08,-6.381044998370001e-08,-6.14700720765e-08,-7.566128597510001e-08,-7.265073518039999e-08,-5.44707087779e-08,-3.4656780541300005e-08,-3.00063826914e-08,-4.49955199277e-08,-6.146498848169997e-08
-1.3720954579e-07,-1.3509313326199998e-07,-1.3981283458299998e-07,-1.4196408553099998e-07,-1.4285044044100002e-07,-1.44518433953e-07,-1.41893633225e-07,-1.3942717067899998e-07,-1.40181151078e-07,-1.43321118134e-07,-1.4414985897e-07
1.47458034502e-07,1.76266996007e-07,1.64709084216e-07,1.34169115599e-07,8.85232019491e-08,1.20268643114e-07,1.75762714891e-07,2.09876881466e-07,1.904744372e-07,1.54881576397e-07,1.05554278485e-07
-1.22844053624e-07,-1.2278836384800001e-07,-1.2692718547999998e-07,-1.28963179558e-07,-1.34101458905e-07,-1.36574613415e-07,-1.36555514034e-07,-1.32911122258e-07,-1.32116961355e-07,-1.3678772230499999e-07,-1.3435842457000002e-07
