State,Year,Month,Megawatthours
SD,2007,7,968373
TN,2007,7,9872443
TX,2007,7,32679289
UT,2007,7,2890938
VA,2007,7,10358394
VT,2007,7,504956
WA,2007,7,6735192
WI,2007,7,6601805
WV,2007,7,2743482
WY,2007,7,1302370
AK,2007,8,510676
AL,2007,8,9505243
AR,2007,8,4838387
AZ,2007,8,8540643
CA,2007,8,25919908
CO,2007,8,4989533
CT,2007,8,3323599
DC,2007,8,1183885
DE,2007,8,1142590
FL,2007,8,23677372
GA,2007,8,14765144
HI,2007,8,948213
IA,2007,8,4484557
ID,2007,8,2294606
IL,2007,8,14587244
IN,2007,8,10639175
KS,2007,8,4473683
KY,2007,8,8508861
LA,2007,8,7947877
MA,2007,8,5465428
MD,2007,8,6436342
ME,2007,8,1064726
MI,2007,8,10708773
MN,2007,8,6474460
MO,2007,8,9118872
MS,2007,8,4870495
MT,2007,8,1417516
NC,2007,8,13780121
ND,2007,8,966379
NE,2007,8,2816424
NH,2007,8,1037531
NJ,2007,8,8355884
NM,2007,8,2198998
NV,2007,8,3852678
NY,2007,8,14038983
OH,2007,8,15837250
OK,2007,8,6079036
OR,2007,8,4082970
PA,2007,8,14020374
RI,2007,8,850237
SC,2007,8,8485224
SD,2007,8,987920
TN,2007,8,10448900
TX,2007,8,35330836
UT,2007,8,2780520
VA,2007,8,11076073
VT,2007,8,510318
WA,2007,8,6772444
WI,2007,8,6726523
WV,2007,8,3158749
WY,2007,8,1332647
AK,2007,9,496463
AL,2007,9,8604495
AR,2007,9,4626909
AZ,2007,9,8019524
CA,2007,9,24974681
CO,2007,9,4419940
CT,2007,9,2736996
DC,2007,9,1032513
DE,2007,9,1107939
FL,2007,9,23214150
GA,2007,9,12850472
HI,2007,9,910458
IA,2007,9,3748838
ID,2007,9,1833667
IL,2007,9,12249862
IN,2007,9,9363617
KS,2007,9,3574855
KY,2007,9,8079931
LA,2007,9,7921552
MA,2007,9,4737142
MD,2007,9,5455987
ME,2007,9,940244
MI,2007,9,9017849
MN,2007,9,5950292
MO,2007,9,7903734
MS,2007,9,4810668
MT,2007,9,1206362
NC,2007,9,12196816
ND,2007,9,883794
NE,2007,9,2318789
NH,2007,9,926809
NJ,2007,9,7049993
NM,2007,9,2029181
NV,2007,9,3331943
NY,2007,9,13258709
OH,2007,9,13483285
OK,2007,9,4927323
OR,2007,9,3746653
PA,2007,9,12562637
RI,2007,9,632726
SC,2007,9,7486891
SD,2007,9,852788
TN,2007,9,10664872
TX,2007,9,33193019
UT,2007,9,2295146
VA,2007,9,9339616
VT,2007,9,467318
WA,2007,9,6275091
WI,2007,9,5993388
WV,2007,9,2578782
WY,2007,9,1239860
AK,2007,10,495542
AL,2007,10,7407428
AR,2007,10,3954109
AZ,2007,10,6302185
CA,2007,10,22667368
CO,2007,10,4176556
CT,2007,10,2742470
DC,2007,10,975821
DE,2007,10,919366
FL,2007,10,20563468
GA,2007,10,11084967
HI,2007,10,927130
IA,2007,10,3725636
ID,2007,10,1718336
IL,2007,10,11243728
IN,2007,10,8862154
KS,2007,10,3065986
KY,2007,10,7699066
LA,2007,10,6961536
MA,2007,10,4616246
MD,2007,10,5007359
ME,2007,10,958278
MI,2007,10,9003410
MN,2007,10,5617678
MO,2007,10,6545282
MS,2007,10,4119030
MT,2007,10,1203105
NC,2007,10,10642248
ND,2007,10,921051
NE,2007,10,2116693
NH,2007,10,874774
NJ,2007,10,6632650
NM,2007,10,1783578
NV,2007,10,2551906
NY,2007,10,12187344
OH,2007,10,12984080
OK,2007,10,4326697
OR,2007,10,3722606
PA,2007,10,11929842
RI,2007,10,656062
SC,2007,10,6596083
SD,2007,10,799042
TN,2007,10,8805065
TX,2007,10,30043795
UT,2007,10,2071599
VA,2007,10,8736744
VT,2007,10,464531
WA,2007,10,6542025
WI,2007,10,5897537
WV,2007,10,2658808
WY,2007,10,1274653
AK,2007,11,541155
AL,2007,11,6607394
AR,2007,11,3484287
AZ,2007,11,5371814
CA,2007,11,20225215
CO,2007,11,4088741
CT,2007,11,2712602
DC,2007,11,909065
DE,2007,11,911001
FL,2007,11,17878369
GA,2007,11,9809007
HI,2007,11,866369
IA,2007,11,3522633
ID,2007,11,1783715
IL,2007,11,11233756
IN,2007,11,8366123
KS,2007,11,3023804
KY,2007,11,7438404
LA,2007,11,5981197
MA,2007,11,4385580
MD,2007,11,4815622
ME,2007,11,941698
MI,2007,11,8825239
MN,2007,11,5296123
MO,2007,11,6229224
MS,2007,11,3623835
MT,2007,11,1234503
NC,2007,11,9730599
ND,2007,11,1008112
NE,2007,11,2190041
NH,2007,11,891692
NJ,2007,11,6171967
NM,2007,11,1724201
NV,2007,11,2456220
NY,2007,11,11494562
OH,2007,11,12235700
OK,2007,11,4050538
OR,2007,11,3942895
PA,2007,11,11805654
RI,2007,11,620004
SC,2007,11,6065333
SD,2007,11,829623
TN,2007,11,7912582
TX,2007,11,25475185
UT,2007,11,2189957
VA,2007,11,8337665
VT,2007,11,468511
WA,2007,11,6998131
WI,2007,11,5503645
WV,2007,11,2806580
WY,2007,11,1283434
AK,2007,12,586929
AL,2007,12,7149017
AR,2007,12,3658382
AZ,2007,12,5663934
CA,2007,12,21024751
CO,2007,12,4287654
CT,2007,12,3017888
DC,2007,12,1027542
DE,2007,12,936709
FL,2007,12,17441545
GA,2007,12,10525530
HI,2007,12,875144
IA,2007,12,3759396
ID,2007,12,2053887
IL,2007,12,12148127
IN,2007,12,9248794
KS,2007,12,3270802
KY,2007,12,8112993
LA,2007,12,5926891
MA,2007,12,5008716
MD,2007,12,5643111
ME,2007,12,1047944
MI,2007,12,9001598
MN,2007,12,5772379
MO,2007,12,7262156
MS,2007,12,3694387
MT,2007,12,1418124
NC,2007,12,10335574
ND,2007,12,1184765
NE,2007,12,2489968
NH,2007,12,991613
NJ,2007,12,6702760
NM,2007,12,1806045
NV,2007,12,2786674
NY,2007,12,12262667
OH,2007,12,13793673
OK,2007,12,4420337
OR,2007,12,4521896
PA,2007,12,13236743
RI,2007,12,702651
SC,2007,12,6331764
SD,2007,12,965459
TN,2007,12,8474525
TX,2007,12,25996715
UT,2007,12,2435279
VA,2007,12,9417022
VT,2007,12,527154
WA,2007,12,8215487
WI,2007,12,6067693
WV,2007,12,3051777
WY,2007,12,1421704
AK,2008,1,622152
AL,2008,1,7959033
AR,2008,1,3998724
AZ,2008,1,5811331
CA,2008,1,22619921
CO,2008,1,4463167
CT,2008,1,2718811
DC,2008,1,969404
DE,2008,1,1050667
FL,2008,1,18439364
GA,2008,1,11784364
HI,2008,1,850922
IA,2008,1,4086654
ID,2008,1,2120424
IL,2008,1,12873422
IN,2008,1,9757958
KS,2008,1,3400588
KY,2008,1,8799076
LA,2008,1,6634732
MA,2008,1,4955326
MD,2008,1,5749726
ME,2008,1,1055087
MI,2008,1,9306895
MN,2008,1,6171388
MO,2008,1,7673021
MS,2008,1,4024323
MT,2008,1,1457386
NC,2008,1,11638160
ND,2008,1,1232968
NE,2008,1,2543086
NH,2008,1,1017848
NJ,2008,1,6812664
NM,2008,1,1885185
NV,2008,1,2704225
NY,2008,1,12283409
OH,2008,1,14475383
OK,2008,1,4751648
OR,2008,1,4783828
PA,2008,1,13801167
RI,2008,1,657546
SC,2008,1,7091491
SD,2008,1,1028849
TN,2008,1,9080929
TX,2008,1,28112925
UT,2008,1,2496638
VA,2008,1,10183700
VT,2008,1,533260
WA,2008,1,8658360
WI,2008,1,6318712
WV,2008,1,3323498
WY,2008,1,1445228
AK,2008,2,590279
AL,2008,2,7302286
AR,2008,2,3908154
AZ,2008,2,5426564
CA,2008,2,19970292
CO,2008,2,4142137
CT,2008,2,2462156
DC,2008,2,890500
DE,2008,2,1024519
FL,2008,2,16515248
GA,2008,2,10726214
HI,2008,2,801006
IA,2008,2,3861203
ID,2008,2,1927250
IL,2008,2,12198537
IN,2008,2,9427459
KS,2008,2,3180409
KY,2008,2,8212696
LA,2008,2,6353999
MA,2008,2,4770903
MD,2008,2,5440696
ME,2008,2,985385
MI,2008,2,8773427
MN,2008,2,5880777
MO,2008,2,7335544
MS,2008,2,3884679
MT,2008,2,1351447
NC,2008,2,10832900
ND,2008,2,1184198
NE,2008,2,2437418
NH,2008,2,928279
NJ,2008,2,6431301
NM,2008,2,1745262
NV,2008,2,2472871
NY,2008,2,11838353
OH,2008,2,13788333
OK,2008,2,4392782
OR,2008,2,4258655
PA,2008,2,12870063
RI,2008,2,623318
SC,2008,2,6470708
SD,2008,2,1021147
TN,2008,2,9144470
TX,2008,2,26480328
UT,2008,2,2208136
VA,2008,2,9232209
VT,2008,2,493430
WA,2008,2,8491056
WI,2008,2,5984201
WV,2008,2,3000208
WY,2008,2,1421528
AK,2008,3,542686
AL,2008,3,6976326
AR,2008,3,3634851
AZ,2008,3,5230866
CA,2008,3,19927153
CO,2008,3,4139474
CT,2008,3,2739935
DC,2008,3,861093
DE,2008,3,958375
FL,2008,3,16164172
GA,2008,3,10079341
HI,2008,3,869771
IA,2008,3,3831804
ID,2008,3,1821264
IL,2008,3,11570641
IN,2008,3,9023953
KS,2008,3,3012509
KY,2008,3,8043021
LA,2008,3,5640618
MA,2008,3,4584608
MD,2008,3,5123620
ME,2008,3,989425
MI,2008,3,8750989
MN,2008,3,5840987
MO,2008,3,6844667
MS,2008,3,3613939
MT,2008,3,1282923
NC,2008,3,9788442
ND,2008,3,1141941
NE,2008,3,2321134
NH,2008,3,917702
NJ,2008,3,6353814
NM,2008,3,1694724
NV,2008,3,2488448
NY,2008,3,11670292
OH,2008,3,13791278
OK,2008,3,4227381
OR,2008,3,4333598
PA,2008,3,12923209
RI,2008,3,605129
SC,2008,3,6160923
SD,2008,3,941874
TN,2008,3,8497112
TX,2008,3,25400902
UT,2008,3,2183990
VA,2008,3,8512157
VT,2008,3,489254
WA,2008,3,7893999
WI,2008,3,5889400
WV,2008,3,2900275
WY,2008,3,1399349
AK,2008,4,509909
AL,2008,4,6616112
AR,2008,4,3363835
AZ,2008,4,5170657
CA,2008,4,20365692
CO,2008,4,3940203
CT,2008,4,2424892
DC,2008,4,835214
DE,2008,4,881594
FL,2008,4,16612549
GA,2008,4,9680738
HI,2008,4,834746
IA,2008,4,3594479
ID,2008,4,1754070
IL,2008,4,10592055
IN,2008,4,8150772
KS,2008,4,2894405
KY,2008,4,7297977
LA,2008,4,5774923
MA,2008,4,4379794
MD,2008,4,4452052
ME,2008,4,893638
MI,2008,4,8089215
MN,2008,4,5330824
MO,2008,4,6014656
MS,2008,4,3450270
MT,2008,4,1233392
NC,2008,4,9328760
ND,2008,4,978142
NE,2008,4,2130721
NH,2008,4,864503
NJ,2008,4,5766416
NM,2008,4,1666876
NV,2008,4,2434080
NY,2008,4,10673259
OH,2008,4,11813980
OK,2008,4,3944412
OR,2008,4,3926609
PA,2008,4,11510206
RI,2008,4,643814
SC,2008,4,5920432
SD,2008,4,868905
TN,2008,4,7750463
TX,2008,4,25400068
UT,2008,4,2089393
VA,2008,4,7947985
VT,2008,4,438712
WA,2008,4,7336756
WI,2008,4,5470320
WV,2008,4,2594831
WY,2008,4,1325111
AK,2008,5,488304
AL,2008,5,7161462
AR,2008,5,3466535
AZ,2008,5,5912030
CA,2008,5,20942151
CO,2008,5,4114954
CT,2008,5,2065419
DC,2008,5,907361
DE,2008,5,836295
FL,2008,5,18158436
GA,2008,5,10581464
HI,2008,5,885854
IA,2008,5,3540788
