State,Y_1_M_1_F_1,Y_1_M_1_F_2,Y_1_M_1_F_3,Y_1_M_1_F_4,Y_1_M_2_F_1,Y_1_M_2_F_2,Y_1_M_2_F_3,Y_1_M_2_F_4,Y_1_M_3_F_1,Y_1_M_3_F_2,Y_1_M_3_F_3,Y_1_M_3_F_4,Y_1_M_4_F_1,Y_1_M_4_F_2,Y_1_M_4_F_3,Y_1_M_4_F_4,Y_1_M_5_F_1,Y_1_M_5_F_2,Y_1_M_5_F_3,Y_1_M_5_F_4,Y_1_M_6_F_1,Y_1_M_6_F_2,Y_1_M_6_F_3,Y_1_M_6_F_4,Y_1_M_7_F_1,Y_1_M_7_F_2,Y_1_M_7_F_3,Y_1_M_7_F_4,Y_1_M_8_F_1,Y_1_M_8_F_2,Y_1_M_8_F_3,Y_1_M_8_F_4,Y_1_M_9_F_1,Y_1_M_9_F_2,Y_1_M_9_F_3,Y_1_M_9_F_4,Y_1_M_10_F_1,Y_1_M_10_F_2,Y_1_M_10_F_3,Y_1_M_10_F_4,Y_1_M_11_F_1,Y_1_M_11_F_2,Y_1_M_11_F_3,Y_1_M_11_F_4
GA,0.246119529202,0.764612114772,0.288332563771,0.147494484715,0.27839830399,0.7555791710950001,0.28875398340799996,0.157894736842,0.261053191053,0.8384697130709999,0.289288229593,0.133942641034,0.241641287785,0.8809776833159999,0.28950165928000005,0.13898518752,0.21943670504,0.9107332624869999,0.289827147552,0.15600378191,0.24670609709000002,0.947396386823,0.29017343481999996,0.160416010085,0.286734119498,0.95908607864,0.290459756985,0.220296249606,0.32562356086800004,0.948459086079,0.290797532663,0.177434604475,0.31900764637400003,0.918172157279,0.290917078887,0.164513079105,0.272505474961,0.8703506907549999,0.291125324824,0.14213677907299999,0.23592298175299997,0.843783209352,0.291263302157,0.125118184683
HI,0.008547001993009999,0.877789585547,0.0160028747411,0.7967223447840001,0.0078130612599,0.886822529224,0.0160211138598,0.702804916483,0.006823171037090001,0.878320935175,0.0160399289506,0.708162622124,0.0079028508618,0.889479277365,0.0160398009568,0.680743775607,0.008210512644229999,0.886822529224,0.0160455606785,0.670028364324,0.00832872244038,0.899574920298,0.0160714794261,0.687677277025,0.008691810790520001,0.910201912859,0.016077943113799998,0.6920895052,0.0107707264331,0.918172157279,0.0160792870488,0.695871415065,0.0116741339569,0.917640807651,0.0161011099944,0.66277970375,0.010943691831200001,0.910201912859,0.0160876066468,0.644815631894,0.0101174933005,0.90170031881,0.016099254084000002,0.6047904191619999
IA,0.0881309744412,0.640807651435,0.0862002508039,0.0964387015443,0.0937511277617,0.603081827843,0.08618681145330001,0.0958083832335,0.0856812064157,0.724229543039,0.0864127205373,0.09959029309800001,0.08342750418219999,0.7975557917110001,0.0863860338268,0.10022061140900004,0.07430014073510001,0.844845908608,0.08643857528799999,0.09959029309800001,0.07767289410789999,0.894792773645,0.08650193222660002,0.150961235424,0.0847989822407,0.9086078639740001,0.0866573807154,0.1730223763,0.09318071097930004,0.892136025505,0.0866330618904,0.16199180586200002,0.092327793632,0.889479277365,0.0868243486475,0.134572959344,0.0846465292257,0.8076514346439999,0.0869627739588,0.100535770564,0.0776796037659,0.7492029755580001,0.0868063015195,0.086038449417
ID,0.0359130610442,0.678533475027,0.0377612473765,0.106208635361,0.037189070254699995,0.71307120085,0.0385089232488,0.10148124803,0.0303837277374,0.7428267800210001,0.0378861053434,0.10148124803,0.0303374071341,0.7507970244419999,0.0379310311726,0.0992751339426,0.0330807706234,0.8012752391069999,0.038010579328800004,0.11913016073100001,0.033453659866800003,0.869819341126,0.038073744276699996,0.11786952410999996,0.045896840445999995,0.871944739639,0.0381764593135,0.11786952410999996,0.048170120503099996,0.875664187035,0.0382179933066,0.116608887488,0.0443867120974,0.829968119022,0.0383366435734,0.105893476205,0.0341270938626,0.7954303931990001,0.0384054402491,0.102741884652,0.0289628618033,0.684909670563,0.0384127358966,0.09895997478730001
IL,0.27466473875799996,0.6625929861850001,0.35392881816,0.14213677907299999,0.290019767132,0.629117959617,0.353186646021,0.149385439647,0.271343913346,0.72954303932,0.355574178656,0.154427986133,0.27155258371,0.814558979809,0.354221987994,0.145918688938,0.228124777593,0.8708820403829999,0.35385694963200004,0.144342893161,0.24770574028,0.90701381509,0.353857333614,0.14780964387,0.27165298894900003,0.920297555792,0.35423798721999994,0.157579577687,0.30923764146899996,0.908076514346,0.35474132289899996,0.159785691774,0.30426024942200003,0.900106269926,0.355046716143,0.154112826978,0.277124834865,0.823591923486,0.355819158818,0.15285219035599998,0.23875215697500002,0.7736450584479999,0.356215299677,0.152221872045
IN,0.208823703496,0.6604675876730001,0.187661076217,0.13898518752,0.224073054756,0.628586609989,0.187699666352,0.138670028364,0.20677869559,0.7236981934110001,0.187798605571,0.136779073432,0.207704244985,0.807120085016,0.18764750887200002,0.137724550898,0.172382568404,0.871413390011,0.187048689807,0.131106208635,0.18971617907000002,0.903294367694,0.187698898389,0.13961550583,0.202419766269,0.913390010627,0.187838219657,0.141506460763,0.22162302313700002,0.901168969182,0.187485340708,0.140245824141,0.218432532831,0.891604675877,0.18799309217399998,0.138354869209,0.20005566619800005,0.821466524973,0.188043969715,0.13268200441199998,0.18061179620200002,0.7736450584479999,0.18811071849,0.136463914277
KS,0.0686159101807,0.6965993623800001,0.0792042368513,0.161046328396,0.0725869014536,0.6918172157279999,0.07930579994369999,0.165458556571,0.0665881077542,0.774707757705,0.0794321938364,0.16797982981400006,0.06284577204080001,0.825717321998,0.0794465291437,0.17270721714499998,0.0557938256289,0.8538788522849999,0.079798448139,0.17459817207699999,0.061455435050599985,0.928799149841,0.0797711854563,0.186889379136,0.0795604646822,0.94527098831,0.08038261191219999,0.186889379136,0.0884340353153,0.925611052072,0.0799785994341,0.18153167349500002,0.086796902726,0.920297555792,0.0798611651085,0.173337535455,0.0785396141803,0.8405951115829999,0.079721523856,0.164513079105,0.0614278296006,0.77311370882,0.0798376782434,0.16892530728
KY,0.150500312838,0.697130712009,0.128682678053,0.102426725496,0.162492676288,0.6657810839530001,0.128673718486,0.11125118184699999,0.158189868464,0.762486716259,0.128784945111,0.104002521273,0.148026821379,0.8310308182780001,0.128710068729,0.102426725496,0.125567559187,0.8836344314560001,0.128719092293,0.0999054522534,0.135826434567,0.920297555792,0.128874988761,0.107469271982,0.14798694684,0.932518597237,0.129062051722,0.115663410022,0.159359577522,0.912858660999,0.129124768691,0.123542388906,0.155394768719,0.8990435706700001,0.12913577615900002,0.119760479042,0.142419176778,0.833156216791,0.129215004331,0.110620863536,0.12420027466499999,0.796493092455,0.129242523001,0.112826977624
LA,0.158023756503,0.776833156217,0.135001668719,0.0939174283013,0.17404491013700002,0.778427205101,0.13506483366699998,0.09265679167980001,0.165419189478,0.847502656748,0.135397873575,0.09360226914589999,0.15858693644000002,0.896918172157,0.13557783287900002,0.0879294043492,0.145522609271,0.92348565356,0.13557322510199998,0.0986448156319,0.15615149832699998,0.953772582359,0.136098703711,0.09297195083519999,0.181988234615,0.973432518597,0.13621485809800002,0.0967538606997,0.20438042418900002,0.964930924548,0.13635437135700001,0.10809959029300001,0.21738620959199997,0.943145589798,0.13629216636299998,0.10463283958399999,0.198062202843,0.896386822529,0.13627111138,0.10022061140900004,0.168880198817,0.859192348565,0.136132174093,0.08383233532930001
MA,0.097610810601,0.641870350691,0.189017298684,0.416325244248,0.10733751424900001,0.6036131774710001,0.18994710975600002,0.44784115978600003,0.105179975793,0.6822529224230001,0.190253654943,0.44216829498899995,0.101303950143,0.76780021254,0.190211544978,0.404349196344,0.08962696458189999,0.8544102019130001,0.19030728435199998,0.3696816892530001,0.08779410168339999,0.863974495218,0.19146441244000004,0.369366530098,0.09589007088030001,0.903294367694,0.190339986772,0.36148755121299997,0.110831784321,0.903825717322,0.19031835581700002,0.36495430192199996,0.11500650956599999,0.877789585547,0.190552712493,0.37693034982699997,0.106795709365,0.79224229543,0.190350866246,0.357075323038,0.09169246090849999,0.7635494155149999,0.192792604261,0.345099275134
